"","data_code","death_rate","age","race"
"335","SE_T040_002",NA,"18 to 44 Years","White"
"336","SE_T040_002",NA,"18 to 44 Years","White"
"337","SE_T040_002",NA,"18 to 44 Years","White"
"338","SE_T040_002",NA,"18 to 44 Years","White"
"339","SE_T040_002",NA,"18 to 44 Years","White"
"340","SE_T040_002",NA,"18 to 44 Years","White"
"341","SE_T040_002",NA,"18 to 44 Years","White"
"342","SE_T040_002",NA,"18 to 44 Years","White"
"343","SE_T040_002",NA,"18 to 44 Years","White"
"344","SE_T040_002",NA,"18 to 44 Years","White"
"345","SE_T040_002",NA,"18 to 44 Years","White"
"346","SE_T040_002",NA,"18 to 44 Years","White"
"347","SE_T040_002",NA,"18 to 44 Years","White"
"348","SE_T040_002",NA,"18 to 44 Years","White"
"349","SE_T040_002",NA,"18 to 44 Years","White"
"350","SE_T040_002",NA,"18 to 44 Years","White"
"351","SE_T040_002",NA,"18 to 44 Years","White"
"352","SE_T040_002",NA,"18 to 44 Years","White"
"353","SE_T040_002",NA,"18 to 44 Years","White"
"354","SE_T040_002",NA,"18 to 44 Years","White"
"355","SE_T040_002",NA,"18 to 44 Years","White"
"356","SE_T040_002",NA,"18 to 44 Years","White"
"357","SE_T040_002",NA,"18 to 44 Years","White"
"358","SE_T040_002",NA,"18 to 44 Years","White"
"359","SE_T040_002",NA,"18 to 44 Years","White"
"360","SE_T040_002",NA,"18 to 44 Years","White"
"361","SE_T040_002",NA,"18 to 44 Years","White"
"362","SE_T040_002",NA,"18 to 44 Years","White"
"363","SE_T040_002",NA,"18 to 44 Years","White"
"364","SE_T040_002",NA,"18 to 44 Years","White"
"365","SE_T040_002",NA,"18 to 44 Years","White"
"366","SE_T040_002",NA,"18 to 44 Years","White"
"367","SE_T040_002",NA,"18 to 44 Years","White"
"368","SE_T040_002",NA,"18 to 44 Years","White"
"369","SE_T040_002",NA,"18 to 44 Years","White"
"370","SE_T040_002",NA,"18 to 44 Years","White"
"371","SE_T040_002",NA,"18 to 44 Years","White"
"372","SE_T040_002",NA,"18 to 44 Years","White"
"373","SE_T040_002",NA,"18 to 44 Years","White"
"374","SE_T040_002",NA,"18 to 44 Years","White"
"375","SE_T040_002",NA,"18 to 44 Years","White"
"376","SE_T040_002",NA,"18 to 44 Years","White"
"377","SE_T040_002",NA,"18 to 44 Years","White"
"378","SE_T040_002",NA,"18 to 44 Years","White"
"379","SE_T040_002",NA,"18 to 44 Years","White"
"380","SE_T040_002",NA,"18 to 44 Years","White"
"381","SE_T040_002",NA,"18 to 44 Years","White"
"382","SE_T040_002",NA,"18 to 44 Years","White"
"383","SE_T040_002",NA,"18 to 44 Years","White"
"384","SE_T040_002",NA,"18 to 44 Years","White"
"385","SE_T040_002",NA,"18 to 44 Years","White"
"386","SE_T040_002",NA,"18 to 44 Years","White"
